Year;Month;GEPU_current;GEPU_ppp
2010;9;133,1067882;126,4517998
2010;10;122,1559834;115,038822
2010;11;127,1981109;121,1787687
2010;12;129,4581233;130,200531
2011;1;110,1819985;116,0631146
2011;2;93,20483839;91,64879694
2011;3;125,9527553;124,6073595
2011;4;114,6419945;116,0125995
2011;5;88,69207401;84,94499157
2011;6;117,0278029;111,4025609
2011;7;155,2873761;154,4397042
2011;8;214,3615515;211,526772
2011;9;190,9577184;187,9933013
2011;10;165,1305047;170,2696295
2011;11;197,5741343;204,3220674
2011;12;181,4254655;190,8397419
2012;1;160,9078468;167,5378292
2012;2;141,6225511;147,8854456
2012;3;134,2923612;148,0689992
2012;4;126,4838719;130,2660711
2012;5;159,5354642;164,3490878
2012;6;188,1578611;194,8563945
2012;7;158,8670081;162,006728
2012;8;122,472273;126,5761215
2012;9;151,8584166;152,9330673
2012;10;158,5861353;162,3963107
2012;11;173,9014678;171,9059115
2012;12;168,5345807;166,604422
2013;1;167,8004564;165,8486716
2013;2;125,6697127;125,7451438
2013;3;141,6635445;139,3040949
2013;4;134,6000269;135,8148843
2013;5;106,4586665;104,980142
2013;6;120,4197874;118,3324162
2013;7;107,9368452;107,4810829
2013;8;118,6410793;124,9461022
2013;9;132,7190772;132,0864172
2013;10;157,5538967;151,3521102
2013;11;96,0422358;95,85784707
2013;12;118,344027;120,3623708
2014;1;110,8899312;112,6942627
2014;2;97,962571;95,956789
2014;3;113,2793263;111,4082126
2014;4;101,1180633;104,9742247
2014;5;103,69865;105,9672883
2014;6;86,30033577;88,68680275
2014;7;92,86803092;96,93600656
2014;8;98,8665223;105,5975418
2014;9;123,0250931;127,9919928
2014;10;118,8496687;121,8124964
2014;11;113,2162174;119,1761244
2014;12;111,5870379;113,6077763
2015;1;135,7734018;142,6302226
2015;2;112,2931678;118,0527879
2015;3;103,6843363;106,3809975
2015;4;101,3079208;100,2942028
2015;5;106,0435091;103,018217
2015;6;117,4895853;115,7844832
2015;7;128,7895248;128,8604426
2015;8;130,8355528;130,4250536
2015;9;173,7442683;178,110066
2015;10;124,6549957;125,7048447
2015;11;101,5037653;100,6632199
2015;12;113,2806795;117,1588934
2016;1;149,8540155;147,6522191
2016;2;154,98722;155,0587833
2016;3;165,6628805;169,4934135
2016;4;143,8171439;147,7515057
2016;5;131,8518504;130,2335173
